Sm,388.529,0.85
Sn,235.485,0.4
Sn,242.169,0.28
Sn,249.95,0.42
Sn,270.65,0.25
Sn,283.998,0.4
Sn,286.331,0.25
Sn,300.913,0.3
Sn,303.412,0.4
Sn,317.503,0.5
Sn,326.233,1
Sn,380.101,0.78
Sn,452.473,1
Ta,223.948,0.25
Ta,225.076,0.18
Ta,226.162,0.8
Ta,227.259,0.22
Ta,230.293,0.28
Ta,233.198,0.38
Ta,238.706,0.27
Ta,240.063,1
Ta,468.188,0.12
Ti,323.451,0.65
Ti,323.657,0.45
Ti,324.198,0.16
Ti,334.94,1
Ti,336.121,0.65
Ti,337.279,0.53
Ti,338.375,0.4
Ti,375.929,0.3
Ti,376.132,0.26
Ti,430.042,0.35
Ti,453.324,0.32
Ti,498.173,0.12
V,268.796,0.1
V,309.311,0.3
V,310.23,0.28
V,311.071,0.22
V,327.611,0.35
V,411.195,1
V,437.924,1
V,438.472,0.8
V,440.8,1
W,400.85,1
W,407.41,1
Y,224.306,0.3
Y,236.723,0.12
Y,242.22,0.3
Y,294.601,0.1
Y,324.228,0.4
Y,332.789,0.44
Y,354.901,0.6
Y,360.15,1
Y,361.105,0.6
Y,366.461,0.38
Y,377.433,0.7
Y,378.87,0.8
Y,383.288,0.35
Y,395.036,0.33
Y,398.26,0.3
Y,430.963,0.77
Y,485.487,0.9
Y,488.369,0.95
Y,490.012,1
Y,508.742,0.95
Y,566.294,0.9
Y,643.502,0.25
zCr,520.452,1
zCr,520.604,1
zCr,520.844,1
Zn,202.548,0.3
Zn,206.2,0.25
Zn,213.856,0.3
Zn,328.233,0.13
Zn,330.258,0.32
Zn,334.502,0.45
Zn,468.014,0.6
Zn,472.215,0.9
Zn,481.053,1
Zr,257.139,0.4
Zr,327.24,0.5
Zr,339.198,0.92
Zr,343.823,1
Zr,349.788,0.9
Zr,355.66,0.6
Zr,357.685,0.48
Zr,357.247,0.62
Zr,369.817,0.48
Zr,435.974,0.6
Zr,437.978,0.52
Zr,444.3,0.45
Zr,471.008,0.4
Zr,473.948,0.3
Zr,481.504,0.25
Zr,519.16,0.27
Zr,535.09,0.18
zSm,359.26,1
,296.513,0.09
